glucose,O2,CO2,glucose_rate,O2_rate,CO2_rate,growth
0.0015644240017467673,0.00057808811996328815,0.00013472304286404102,-0.011260322430186879,-0.06756193458112128,0.06756193458112128,0.45041289720747518
0.0012156355888462264,0.00064753888335756485,0.0013857974669524912,-0.010827160510893646,-0.064962963065361867,0.064962963065361867,0.43308642043574586
0.001422504368912766,0.00096626172454811654,0.0023823009034651477,-0.012260693139024005,-0.073564158834144036,0.073564158834144036,0.4904277255609602
0.00018730476711519581,4.6803667536555524e-05,0.0014100935925038505,-0.0010336124859934854,-0.0062016749159609121,0.0062016749159609121,0.041344499439739418
0.0012651216875890696,0.0008774884975926606,0.002882544725680232,-0.011673912532816031,-0.070043475196896188,0.070043475196896188,0.46695650131264127
0.0019618132974266607,0.00041182198023455063,0.00059162782450115925,-0.01072795649404225,-0.064367738964253504,0.064367738964253504,0.42911825976169005
0.0008525762929959146,4.0681238140329172e-05,0.001444506355481466,-0.0021308525675448283,-0.012785115405268971,0.012785115405268971,0.08523410270179313
0.00023368213586121115,0.00040314227812851436,0.0028773142535031869,-0.004257808630924822,-0.025546851785548934,0.025546851785548934,0.1703123452369929
0.0019169502262780264,0.00060276708479079118,0.0025909557971224247,-0.01191058511728872,-0.071463510703732316,0.071463510703732316,0.47642340469154881
0.0013552045479941965,0.00037511788214499215,0.0003170312107929062,-0.0095291451502885691,-0.057174870901731414,0.057174870901731414,0.38116580601154276
0.00040241354453044174,0.0003574730593984912,0.001381381789596947,-0.0057189514966597644,-0.034313708979958585,0.034313708979958585,0.22875805986639056
0.0013473979204883062,0.00081739433389919913,0.00078707578488912508,-0.011719463378510564,-0.070316780271063389,0.070316780271063389,0.46877853514042256
0.00198555583919582,0.0004306949274068917,0.00095770744252949246,-0.010910357850720141,-0.065462147104320842,0.065462147104320842,0.43641431402880559
0.00042687609327292549,0.00095832123685268887,0.0028307916710149533,-0.0076206539662923749,-0.045723923797754251,0.045723923797754251,0.30482615865169499
0.0017091809990399415,0.00026617570761402787,0.0016743525761721157,-0.0088349791943690206,-0.053009875166214124,0.053009875166214124,0.35339916777476083
0.0014008324626024267,0.00010749537862435429,0.0013771474496171059,-0.0051525658814532693,-0.030915395288719616,0.030915395288719616,0.2061026352581308
0.00045113330487780247,0.00048906944291924367,0.00094133750042804708,-0.0067328824797823605,-0.040397294878694159,0.040397294878694159,0.26931529919129443
0.00037769574718796986,0.0007319509413877118,0.0025416260880702863,-0.0067595380756455443,-0.040557228453873266,0.040557228453873266,0.2703815230258218
0.0019087724940392214,0.00035713811728778512,0.0015489881050942788,-0.010159251529532815,-0.060955509177196887,0.060955509177196887,0.40637006118131264
0.00068747067993197024,0.00025182612336484327,0.002806344682622721,-0.0064534317882342634,-0.038720590729405577,0.038720590729405577,0.25813727152937055
0.00088837505304871251,0.00056633631830467577,0.0024173076548983513,-0.0094574608806335947,-0.056744765283801568,0.056744765283801568,0.37829843522534379
0.0013156138299713635,0.00082271468999676241,0.002773257110959174,-0.0116581516813128,-0.069948910087876792,0.069948910087876792,0.46632606725251202
0.00088620078836607323,0.00057995125900703142,0.00022397455339859628,-0.0095073617375121891,-0.057044170425073135,0.057044170425073135,0.38029446950048762
1.0526362921099198e-05,0.00060450274597442268,0.0013208301830717223,-0.00030985671243496352,-0.0018591402746097811,0.0018591402746097811,0.012394268497398542
0.0005279091820528446,0.00040185058943065433,0.0024482754819571749,-0.0068582037829552382,-0.041149222697731427,0.041149222697731427,0.27432815131820953
