# CompLaB surrogate training set
# model: textbook.xml
# objective: 1.0*Biomass_Ecoli_core - 1.0*Biomass_Ecoli_core_reverse_2cdba
# n_inputs: 2
# input 0: EX_glc__D_e (index 27) range 0.01 20 log
# input 1: EX_o2_e (index 35) range 0.001 25 log
# output: specific growth rate, 1/h, range 0 1.1318107802617301
# samples: 900 (289 optimal, 289 growing)
v_in_0,v_in_1,growth
8.7844258260313719,0.053997090262728156,0.17658141148440548
0.096818736214604989,8.5444950412902596,0
0.036473110665881166,0.0061135254288421925,0
5.1129124636049221,0.0014443456384065835,0.062858727975875939
1.1049177244402242,0.037082471328909968,0
0.48462716726245147,7.9070381320804959,0.0004831880921605915
12.336677703278603,3.1639138240793661,0.39672773745237022
18.22547214107809,0.102861549601591,0.46590602125346237
3.5854302828228453,0.0017077268846902389,0.016342499562641603
5.9926773100993902,3.2817652744976997,0.20773760157291662
0.16450192554212947,2.4938925996210917,0
0.24217443957232807,0.0014664826701217186,0
9.1275181547729556,0.11027466402148349,0.18905751930906653
0.013161146309006236,0.088107961035880838,0
0.60000055790542728,0.051933759592072873,0
4.557888822459903,10.566043757658417,0.36620409038464558
4.2994023578048894,2.2485453036969822,0.11896907318519095
0.34236848959152588,0.0053193994173050428,0
0.036793065254913389,8.4876695560438762,0
0.31930742922123823,0.010707412128695505,0
0.03976062720761965,0.0089538679306690443,0
8.2960211902178802,0.036545090467983377,0.16107683184669136
0.092362345631018361,1.0462616344861617,0
0.048453919696312638,0.10077531402271854,0
6.7685069609366586,22.932336215203332,0.57770751712977098
0.091559524835098771,0.18037818280778969,0
2.2372589459666901,0.0037516003814812085,0
0.012228301314765789,24.43785191628616,0
0.07334275209181966,0.090683744974837555,0
7.9768891724867323,0.020035048124368664,0.15076204898532511
0.036351495682648137,0.022079028117401818,0
0.056374036662246309,0.017372882310070791,0
0.067011821633745361,0.0013400268478036444,0
0.070525282509492568,1.2345263087010649,0
1.2213133710419228,1.6844219609089535,0.0035443655921484902
0.041801116656629791,0.40084136739841092,0
0.24821506123745513,17.636623157250192,0
4.8284838537402175,1.9515728529726162,0.12439426427682734
2.117774504122568,0.28242901902545725,0
15.587190250942717,9.2416852984441,0.71451752433028337
0.10145975465249167,0.20751252054571509,0
0.90560447272791278,0.33503599308983306,0
6.2146526420180397,0.31304127889470501,0.10763331162753294
0.82593370765021812,1.0923155113933964,0
13.270680993122635,0.66167882400581002,0.33510341866240456
0.014609548321873011,0.0085836419438422296,0
6.4408116379848543,10.093676717589441,0.44180682552921596
1.1705798199820892,2.1298425200404427,0.016370368802437491
1.0623490364779358,0.0010259486658545341,0
0.62551459608592885,2.2505596617748638,0
13.496544297846244,6.5089904913165757,0.552469272773908
17.811609398524144,0.095683155754216778,0.4530417394922267
0.44590072972000189,0.032842798911441907,0
2.6114962716419674,0.13115410277632872,0
3.8143562906807902,23.643059655643214,0.30691604518692411
2.7551195718296628,0.95074698830603288,0.025214656629488248
1.6175545469843757,0.32727049006471604,0
0.05051055856057441,0.0021815224535566245,0
2.9581701648843723,0.086668773208334993,0.00029508170355019601
19.313388123884256,0.0039372984167884307,0.4954819603083373
10.539334253731205,0.28552173316618734,0.23836853200558586
0.23910554156018135,0.012423415374303208,0
1.8083838456385528,0.0011675947684287439,0
0.011473279070491994,0.002044463585313724,0
11.294780543057128,0.0031185711652643488,0.2512130396969845
0.01525340244662609,6.1575136988641361,0
0.1313775387804979,12.309845618315766,0
8.4570797785675538,0.28052393005126353,0.17476505981585411
0.038400600662916881,18.879937426360179,0
1.1783783205476426,0.70779000419737548,0
1.7721389621939945,0.0055418772814514626,0
0.047717404812885257,0.039115925661057385,0
3.4537423396891507,0.0085681967092368222,0.012578362347367433
0.018661025329506847,0.023015622145787049,0
0.76997916943562983,4.0326878542390494,0.027005482559758928
0.39841411834850066,0.0023852881367334888,0
0.43160431465289995,0.044787782944758631,0
0.030830979190527942,0.20971487786198875,0
0.037573959028877876,2.6432113494798664,0
1.4758119949790838,0.07345024880369902,0
13.94457757744847,1.1287934872579266,0.37244446529709568
4.4249878376168983,3.4870630954734918,0.16623282165675135
3.3994291347595151,0.23140620983745716,0.018945554137261972
0.29335910314482028,0.0028542062456319789,0
9.9953285978780784,14.472430295954686,0.70423777016147637
1.3392069547138734,0.0046710015243648382,0
0.029591707616612319,8.7505395134438064,0
2.43557805908612,0.012128807437738478,0
3.5669149551863479,0.0038618622901457765,0.015856082255095751
9.543237186113112,1.4999058806007273,0.25174263484113352
0.010405957079125928,0.019844438186705875,0
0.018330867612369982,0.0048950956331519392,0
0.24362337823491975,0.10613428808699076,0
8.0429088811678646,1.835842159219512,0.21813673958950064
0.058298419201899342,0.29208353326737674,0
5.8136642929666813,3.1180666438719991,0.196392352867306
5.2746708867496803,3.5661867628775581,0.19610613183371675
0.010957472959564042,3.7123377948193315,0
0.032292040379819517,0.63789258400443405,0
0.047035944891134558,0.41972732838209581,0
1.2356640757277604,0.16774434922006046,0
1.7883049408511789,5.1796127302128712,0.11540387145254674
8.6274575898956911,0.035414839444564021,0.17113139551241319
0.27894601368530475,0.0033907902110092013,0
0.92883777129250145,15.026076667990056,0.041770735948806675
0.013974474539772339,0.25688147466302474,0
0.013056795271037602,0.0080354036936149294,0
0.093017556209688143,0.014226881003701621,0
0.8541788457870676,0.032286153967934141,0
0.019283259133893785,0.19214180848229176,0
0.12298727791238362,0.73816600180966674,0
0.037846783249593847,0.0022350197347363694,0
17.153222673279032,0.0057367229287832574,0.42975007159032125
0.17992916225151825,0.082648147095327709,0
0.030211040090954586,0.10459135631981129,0
0.024062976183303313,5.5162723318361735,0
