CH4,SO4,HS,HCO3,CH4_rate,SO4_rate,HS_rate,HCO3_rate,growth
0.0006515653118183062,0.0046152393502449894,6.5973668783412493e-05,0.0034343006228907667,-0.0014238048329328235,-0.0014238048329328235,0.0014238048329328235,0.0014238048329328235,0.0071190241646641172
0.002501396533576174,0.0054581350938257391,0.0018946513457081214,0.00046463598368309545,-0.0026177922164814932,-0.0026177922164814932,0.0026177922164814932,0.0026177922164814932,0.013088961082407466
0.0030114768045405539,0.0030873084753370735,0.00046006930141985025,0.0020495704844382201,-0.0025843214364607552,-0.0025843214364607552,0.0025843214364607552,0.0025843214364607552,0.012921607182303776
0.0001531581517760033,0.0027528082471686604,0.0012199424818042425,0.001054003679504308,-0.00044960251623006581,-0.00044960251623006581,0.00044960251623006581,0.00044960251623006581,0.002248012581150329
0.00074815116204150517,0.0046077548551481298,0.00044441351112926755,0.0012116674992548376,-0.0015442929295348825,-0.0015442929295348825,0.0015442929295348825,0.0015442929295348825,0.0077214646476744123
0.0046417730045722437,0.003867150420266086,0.0011915514127022419,0.0030125099877454666,-0.0029142123586973264,-0.0029142123586973264,0.0029142123586973264,0.0029142123586973264,0.014571061793486632
0.00036139867500944225,0.0056746683557247438,0.00070549408667293313,0.0039104163702229971,-0.00097586124848311382,-0.00097586124848311382,0.00097586124848311382,0.00097586124848311382,0.0048793062424155693
0.00065757200750249704,0.0074893842285782969,0.00063717290909861874,0.0011877393723279525,-0.00148752306524317,-0.00148752306524317,0.00148752306524317,0.00148752306524317,0.0074376153262158493
0.0047421589819259579,0.0067798857232786768,0.00094879639036078549,0.0022159958760434189,-0.0030765126154674079,-0.0030765126154674079,0.0030765126154674079,0.0030765126154674079,0.015382563077337038
0.0031131991280539508,0.0031058887907573695,0.0011726388777758793,0.0013102180954735762,-0.0026077186273114911,-0.0026077186273114911,0.0026077186273114911,0.0026077186273114911,0.013038593136557456
0.0018512756874116572,0.0029860884448686675,0.0011963710276239787,0.0003423429958646397,-0.0022246215691836169,-0.0022246215691836169,0.0022246215691836169,0.0022246215691836169,0.011123107845918086
0.0025618362087982808,0.007415389829717403,0.0013769973663260251,0.0024496311768614633,-0.0026952501871518688,-0.0026952501871518688,0.0026952501871518688,0.0026952501871518688,0.013476250935759345
0.0033175863330588288,0.003163029055178926,0.00053717204020983528,0.00070587764298871798,-0.0026540189048021266,-0.0026540189048021266,0.0026540189048021266,0.0026540189048021266,0.013270094524010633
0.0013837909906480354,0.0064039094943050242,0.00018320510077747331,0.0027819036251192902,-0.0021538349109128884,-0.0021538349109128884,0.0021538349109128884,0.0021538349109128884,0.010769174554564441
0.00069846068360610719,0.00075100785853761496,0.0005067023781121818,0.0030141305052618921,-0.0009874858961178251,-0.0009874858961178251,0.0009874858961178251,0.0009874858961178251,0.004937429480589125
0.0039423175765749196,0.0036143522548881092,0.00065340073251884761,0.00065514284867171867,-0.0028029151724454381,-0.0028029151724454381,0.0028029151724454381,0.0028029151724454381,0.014014575862227192
0.0033550993146713943,0.004134746966725977,0.0012147473914342235,0.0024255061156940824,-0.002749097967867088,-0.002749097967867088,0.002749097967867088,0.002749097967867088,0.013745489839335439
